ID,Tópico,Citação,Trecho do artigo (PT),Trecho da fonte (literal/verificado),Pág./Loc.,Tradução (PT),Diagnóstico,Decisão final,Status
1,I. Introdução §1,CHIANG; RUSSELL; BRAATZ (2001),"…tratado há décadas por métodos estatísticos multivariados (CHIANG; RUSSELL; BRAATZ, 2001)","Fault Detection and Diagnosis in Industrial Systems — obra de referência sobre PCA, PLS, FDA, CVA aplicados ao TEP","livro (Springer, 2001), título e escopo",—,✅ Citação canônica — o livro é a referência-padrão dos métodos multivariados no TEP,Manter,✅ Aprovada
1b,I. Introdução §1,MELO; CÂMARA; PINTO (2024),"…e, mais recentemente, por aprendizado de máquina (MELO; CÂMARA; PINTO, 2024)","Data-Driven Process Monitoring and Fault Diagnosis: A Comprehensive Survey — organiza as técnicas em estatística multivariada (PCA, PLS) e aprendizado de máquina; discute disponibilidade de software e benchmarks","título + resumo (Processes 12(2):251), DOI verificado; texto integral não lido",Monitoramento de processos e diagnóstico de falhas orientados a dados: uma revisão abrangente,✅ Resumo sustenta a divisão 'estatística multivariada × aprendizado de máquina'; ⚠️ texto integral não lido — não usar para afirmações além dessa,Inserida a pedido do autor para atualizar a segunda oração do §1,✅ Aprovada
1c,I. Introdução §1,YIN et al. (2012); MELO et al. (2022),"consolidou-se como ambiente de referência dessa literatura (YIN et al., 2012; MELO et al., 2022)",Yin et al.: '…on the benchmark Tennessee Eastman process' (título). Melo et al.: 'Open benchmarks for assessment of process monitoring and fault diagnosis techniques' (título). Formulação derivada do §2 do WP1A ('amplamente utilizado como ambiente de referência…').,títulos (DOIs verificados); WP1A §2,'…no benchmark Tennessee Eastman process' / 'Benchmarks abertos para avaliação de técnicas de monitoramento e diagnóstico',"✅ 'benchmark' consta literalmente dos dois títulos; a frase paráfrase o enunciado do WP1A, que não é fonte citável",Âncora deslocada para o ponto da afirmação (antes só aparecia no §2),🔄 Aplicada
2,I. Introdução §1; II. 2.1,DOWNS; VOGEL (1993),"O Tennessee Eastman Process, simulador de planta química proposto por Downs e Vogel (1993)",A plant-wide industrial process control problem,"título do artigo, Comput. Chem. Eng. 17(3)",Um problema de controle de processo em escala de planta,✅ Fonte primária do TEP,Manter,✅ Aprovada
3,I. Introdução §2,YIN et al. (2012),Comparações sistemáticas de métodos clássicos remontam a Yin et al. (2012),A comparison study of basic data-driven fault diagnosis and process monitoring methods on the benchmark Tennessee Eastman process,"título, J. Process Control 22(9)",Um estudo comparativo de métodos básicos orientados a dados… no benchmark TEP,✅ O título sustenta exatamente a afirmação,Manter,✅ Aprovada
3b,I. Introdução §3 / Tabela 1,(contagens sobre 13 trabalhos),Quatro dos treze declaram divisão por execução… Nenhum dos treze reporta o MCC… nenhum mede o custo… três declaram como rotulam as amostras anteriores à falha,"05-TABELA-COMPARABILIDADE (9 trabalhos, 12 parâmetros, 27 'não informado') + 06-BUSCA-DIRIGIDA (6 trabalhos). Lidos integralmente: Hu, Xu, Li, Márquez-Vera, Koçak, Zhang, Lyu, Avanashilingam, Peter, Sokolov 2019, Çancıoğlu, Miraliakbar, Khan = 13. Divisão por run: Koçak, Lyu, Avanashilingam, Khan. Rótulo pré-falha: Koçak (robustez sem janelas pré-onset), Lyu (rótulo no último passo), Li ('first 160 timesteps are labeled as 0'). MCC: nenhum. Custo p/ todas as famílias: nenhum (Koçak e Lyu: tempos de um modelo).",rev bibliografica/05 e 06,—,✅ Cada contagem é rastreável a trecho literal ou a 'não informado no artigo' por trabalho,Inserida a Tabela 1 para fundamentar o §3 (antes as lacunas eram só anunciadas); 'quinze' corrigido para treze,🔄 Aplicada
3c,Tabela 1,AVANASHILINGAM; PANDIYATH VELAYUDHAN (2026),Divisão por execução declarada — 4/13,"'Leakage-safe evaluation was ensured by partitioning datasets strictly according to simulationRun identifiers, thereby preventing cross-run contamination between training and testing sets.'","Seção 6, Proposed Methodology (PHMAP 2025), PDF lido",A avaliação segura contra vazamento foi garantida particionando os dados estritamente por identificadores de simulationRun…,✅ Literal,Manter,✅ Aprovada
3d,Tabela 1,KHAN et al. (2026),Divisão por execução declarada — 4/13,'On a run level 70/20/10 split of Tennessee Eastman Process runs' (tarefa binária normal vs. falhas),"Sci Rep 16 (PMC13237222), XML lido",Em uma divisão 70/20/10 em nível de execução dos runs do TEP,"✅ Literal. ⚠️ Não cita Rieth (base inferida pela Tabela 1 do artigo: 500 runs, faultNumber 0..21); entra pelo critério que atende",Manter,✅ Aprovada
3e,Tabela 1,LI et al. (2026),Rótulo das amostras anteriores à falha declarado — 3/13,"'both d00 and d00_te are labeled 0 (normal), and all samples in d0k are labeled 1 (fault). For d0k_te, the first 160 timesteps are labeled as 0, and the subsequent timesteps are labeled as 1'","Seção Data preprocessing (Sci Rep 16:19405), HTML lido","…Para d0k_te, os primeiros 160 passos são rotulados como 0 e os seguintes como 1",✅ Literal (declara o rótulo pré-falha; usa base Braatz e divisão por amostra — irrelevante para este critério),Manter,✅ Aprovada
4,I. Introdução §2,MELO et al. (2022),"revisões recentes analisam criticamente os benchmarks abertos da área (MELO et al., 2022)",Open benchmarks for assessment of process monitoring and fault diagnosis techniques: a review and critical analysis,"título, Comput. Chem. Eng. 165",Benchmarks abertos para avaliação de técnicas…: uma revisão e análise crítica,⚠️ Resumo/texto não acessados (ScienceDirect 403). Afirmação REDUZIDA ao que o título sustenta.,REESCRITA: frase limitada ao título (versão anterior inferia 'diversidade de protocolos'),🔄 Aplicada
5,I. Introdução §2,LEITE et al. (2024),"recomendam bases padronizadas, tratamento do desbalanceamento e avaliações comparativas mais rigorosas (LEITE et al., 2024)","Revisão sistemática (805 → 29 estudos): recomenda priorizar datasets padronizados para reprodutibilidade, técnicas para dados desbalanceados, XAI e avaliações comparativas mais rigorosas","resumo/conclusões (Sensors 25(1):60), verificado C✅",(paráfrase do conteúdo verificado),✅ Conteúdo verificado pelo agente na leitura do artigo,Manter,✅ Aprovada
6,II. 2.1; I. §2,RIETH et al. (2017),500 execuções independentes… sementes distintas… 500 amostras (25 h) e 960 (48 h)… falha introduzida uma e oito horas após o início,"Column 3 ('sample') ranges either from 1 to 500 ('Training' datasets) or 1 to 960 ('Testing' datasets). The TEP variables (columns 4 to 55) were sampled every 3 minutes for a total duration of 25 hours and 48 hours respectively. Note that the faults were introduced 1 and 8 hours into the Faulty Training and Faulty Testing datasets, respectively.",descrição oficial do dataset (Harvard Dataverse / DataCite),A coluna 3 ('sample') vai de 1 a 500 (Training) ou 1 a 960 (Testing). As variáveis foram amostradas a cada 3 min por 25 h e 48 h. As falhas foram introduzidas 1 h e 8 h após o início…,✅ Literal; auditoria própria confirmou cada número,Manter,✅ Aprovada
7,I. §3; II. 2.2,KAPOOR; NARAYANAN (2023),"forma de vazamento amplamente documentada (KAPOOR; NARAYANAN, 2023)",Leakage and the reproducibility crisis in machine-learning-based science — taxonomia de 8 tipos de vazamento; 294 artigos afetados em 17 disciplinas,"título + resumo (Patterns 4(9)), verificado",Vazamento e a crise de reprodutibilidade na ciência baseada em ML,✅ Título e resumo sustentam 'amplamente documentada',Manter,✅ Aprovada
8,I. §3; II. 2.2,SAEB et al. (2017),"forma de vazamento… (SAEB et al., 2017)",The need to approximate the use-case in clinical machine learning — divisão por registro vs. por sujeito produz acurácias artificialmente altas,"título + resumo (GigaScience 6(5)), verificado",A necessidade de aproximar o caso de uso no ML clínico,✅ Demonstração empírica do efeito citado,Manter,✅ Aprovada
9,I. §3; III. 3.1; 3.3; 3.5,LYU et al. (2026),arquiteturas com acurácia superior a 99% perderam até 23 pontos… em dados de um simulador independente,"The Convolutional Autoencoder exhibited catastrophic failure on the new dataset, with accuracy plummeting 23.35% from 99.39% to 76.04%","Tabelas 10–12 / seção de avaliação independente (PDF ChemRxiv, 37 p.), verificado","O autoencoder convolucional exibiu falha catastrófica no novo dataset, com a acurácia despencando 23,35%, de 99,39% para 76,04%",✅ Literal. Preprint — marcado como tal na referência,Manter,✅ Aprovada
9b,III. 3.3,LYU et al. (2026),as três falhas que Lyu et al. (2026) excluíram por sua semelhança com o regime normal,"excluding faults IDV3, IDV9, and IDV15 due to their minimal deviation from normal process behavior","seção Data Preparation, verificado","excluindo as falhas IDV3, IDV9 e IDV15 devido ao seu desvio mínimo em relação ao comportamento normal do processo",✅ Literal,Manter,✅ Aprovada
10,I. §3,KOÇAK et al. (2026),"quando mencionam os métodos clássicos como referência, não publicam seus resultados (KOÇAK et al., 2026)",The evaluated XGBoost classifier exceeded the random forest and linear support vector machine baselines — [nenhuma tabela ou trecho apresenta os valores de F1/acurácia desses baselines; verificadas as 12 tabelas],"Conclusão; Seção 2.6.2 (Processes 14(16):2569), verificado",O classificador XGBoost avaliado superou os baselines Random Forest e SVM linear,✅ Literal + verificação exaustiva de ausência dos números,Manter,✅ Aprovada
10b,II. 2.2,KOÇAK et al. (2026),"A subamostragem tem precedente na mesma base (KOÇAK et al., 2026)",Selected training sample: 200 runs/classe (de 500 disponíveis) — Tabela 3 do artigo,"Tabela 3, Seção 2.3, verificado",Amostra de treino selecionada: 200 runs por classe,✅ Literal (tabela),Manter,✅ Aprovada
10c,II. 2.3,KOÇAK et al. (2026),SVM com núcleo gaussiano exato… inviável… limitação também registrada por Koçak et al. (2026),SVM com kernel RBF excluído deliberadamente por custo computacional (~2×10⁵ amostras × 312 dimensões),"Seção 2.6.2, verificado (paráfrase do agente)",(paráfrase),✅ Conteúdo verificado; trecho literal exato a transcrever na revisão final,Manter,✅ Aprovada
10d,II. 2.4,KOÇAK et al. (2026),"sementes 42, 123, 2024, 7 e 555 (KOÇAK et al., 2026)","Cinco sementes independentes: {42, 123, 2024, 7, 555}","Seção 2.6.1, verificado",—,✅ Literal,Manter,✅ Aprovada
